归一化功率(μW),bell态1,AB符合计数,归一化后符合计数,bell态2,AB符合计数,归一化后符合计数,bell态3,AB符合计数,归一化后符合计数,bell态4,AB符合计数,归一化后符合计数
2199.855,,4270,194.1037023,,4310,195.922004,,126,5.727650231,,198,9.000593221
2193.329,,180,8.206703144,,126,5.744692201,,4360,198.7845873,,4150,189.2101003
1268.208,,134,10.56609011,,201,15.84913516,,2550,201.0711177,,2480,195.5515184
1266.991,,2580,203.63207,,2510,198.1071689,,182,14.36474292,,147,11.60229236
1145.298,,749,65.39782659,,1630,142.3210378,,807,70.46201076,,1570,137.0822266
1143.971,,1290,112.7650963,,1230,107.5202081,,1050,91.78554351,,1340,117.1358365
752.99,,651,86.45533141,,680,90.30664418,,630,83.66644975,,628,83.40084198
1985.891,,2340,117.8312405,,2470,124.3774205,,1760,88.62520652,,1670,84.09323573
1121.362,,4460,397.7306169,,5,0.445886342,,204,18.19216274,,1,0.089177268
1102.868,,2260,204.9202624,,2190,198.5731747,,107,9.701977027,,103,9.339286297
1105.678,,196,17.72667992,,4,0.361768978,,4410,398.8502982,,7,0.633095711
1081.034,,109,10.08293911,,103,9.527914941,,2290,211.8342254,,2190,202.5838225
770.652,,672,87.19889133,,621,80.58111833,,680,88.23697337,,613,79.54303629
2021.773,,1620,80.1276899,,1620,80.1276899,,2550,126.1269193,,2350,116.2346119
658.239,,471,71.55455693,,1010,153.4397081,,399,60.61628071,,958,145.5398419
645.965,,555,85.91796769,,859,132.979341,,852,131.8956909,,612,94.74197518
,,,,,,,,,,,,
红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：1mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns ,,,,,,,,,,,,
只加光栅时，A路计数1.91×105/s，B路计数3.13×104/s，符合计数6.93×103/s,,,,,,,,,,,,
