A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：1mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
1880708,6076,777,1027.233,756.4009334,,
1906470,6025,796,1011.194,787.1882151,,
1921359,6220,691,1028.074,672.1306054,,
1934947,5832,716,1000.819,715.4140759,,
1943914,16676,3117,1955.473,1593.987746,,
1950485,5968,732,1001.063,731.2227103,,
1964444,6062,737,430.801,1710.766688,,
1978788,5623,654,1004.469,651.0902775,,
1988650,2448,9,1195.294,7.5295283,,
2003070,5941,763,939.431,812.1937641,,
2013256,11013,1848,1224.34,1509.384648,,
2013682,5522,663,931.843,711.4932451,,
2023538,2362,0,925.35,0,,
2034604,5978,756,966.596,782.1261416,,
2032939,2412,0,2002.328,0,,
2035675,5942,772,1067.03,723.5035566,,
