A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9290255,3352,198,2105.615,94.03428452,,
9286433,36192,6922,2130.082,3249.640155,,
9295117,3148,139,1916.516,72.52744042,,
9301254,4130,383,1919.99,199.4802056,,
9296888,3097,156,1270.951,122.7427336,,
9301934,3956,259,1296.193,199.8159225,,
9280429,23734,4430,1446.622,3062.306532,,
9267844,3604,251,1447.153,173.4439966,,
9250793,3426,176,966.995,182.0071458,,
9205506,3054,127,966.928,131.3438022,,
9226907,3347,193,1151.072,167.6697896,,
9235517,18857,3342,1153.727,2896.699132,,
9230131,13669,2322,771.897,3008.17337,,
9218025,3163,182,773.38,235.3306266,,
9195818,3055,148,962.344,153.7911599,,
9184746,3327,195,898.938,216.9226354,,
9206127,11802,1946,1109.571,1753.830985,,
9175928,9002,1367,1124.039,1216.149973,,
9176225,2533,7,1071.565,6.532501528,,
9213644,2832,107,1103.355,96.97694758,,
9178781,2889,94,1113.597,84.41114694,,
9192286,3399,226,1090.546,207.2356416,,
9139921,2435,24,751.385,31.94101559,,
9162518,3307,176,1926.073,91.3776373,,
9147649,3202,171,1095.015,156.1622444,,
9131845,3443,221,1065.548,207.405016,,
9159201,12060,2023,1016.437,1990.285674,,
9130313,9823,1572,1020.618,1540.243264,,
9119114,2701,62,1030.418,60.16975635,,
9086801,2446,16,1044.975,15.31137109,,
9081263,3226,183,1220.801,149.901581,,
9124922,3411,163,1615.436,100.9015523,,
9099823,3258,183,1066.035,171.6641574,,
9103929,2566,33,1062.164,31.06864853,,
9077053,2396,16,1045.439,15.3045754,,
9069762,3007,135,1011.416,133.4762353,,
9075328,10212,1666,1027.808,1620.925309,,
9082148,12126,2006,1016.504,1973.430503,,
9044812,7068,967,758.719,1274.516652,,
9053378,12220,2012,1279.712,1572.228751,,
9056838,3571,160,927.197,172.5631123,,
9031261,3331,192,924.542,207.6703925,,
9043223,3497,213,975.268,218.401506,,
9027459,2933,117,965.291,121.2069728,,
9016950,2753,87,979.294,88.83951091,,
9041741,2442,10,990.134,10.09964308,,
9058872,11453,1915,1088.356,1759.534564,,
8983255,8804,1343,1089.219,1232.993549,,
9012012,8320,1269,1105.855,1147.528383,,
9012095,10604,1732,1044.621,1658.017597,,
9076406,11340,1835,1094.771,1676.149624,,
9045638,8435,1366,1092.117,1250.781739,,
9008767,7283,1035,764.149,1354.447889,,
8994625,19372,3478,1939.501,1793.244757,,
9050273,17163,3159,1016.238,3108.523791,,
9107414,34023,6672,1023.848,6516.592307,,
9130179,13801,2435,1019.623,2388.137576,,
9087342,10314,1672,1051.479,1590.141125,,
9153187,10451,1596,1043.316,1529.737874,,
9159122,14387,2425,1046.767,2316.656906,,
9204651,13577,2338,1228.234,1903.546067,,
9218494,16767,2995,1611.321,1858.72337,,
9239045,10626,1663,1047.895,1586.991063,,
9256073,7684,1079,1052.164,1025.50553,,
9273529,2414,12,1034.201,11.60316031,,
9291512,17707,3179,992.789,3202.090273,,
9300338,18401,3310,941.599,3515.296851,,
9302689,2420,8,949.983,8.421203327,,
9286852,7377,1074,759.448,1414.18504,,
9289501,14848,2595,1293.029,2006.915545,,
9273688,11854,2063,989.294,2085.325495,,
9245679,13947,2364,991.285,2384.783387,,
9242953,13662,2299,971.021,2367.610999,,
9234879,10538,1718,974.184,1763.527219,,
9168268,2998,137,1019.07,134.4362998,,
9187626,2479,21,1021.835,20.55126317,,
9201602,3721,273,1330.437,205.1957364,,
9197445,2959,122,1360.7,89.65973396,,
9220916,3085,153,1351.011,113.2485228,,
9203851,2380,13,1347.405,9.648175567,,
9183286,8125,1178,867.626,1357.727869,,
9137737,18143,3307,2112.274,1565.61128,,
9157737,3006,101,1191.533,84.76475263,,
9154117,3579,251,1188.812,211.13515,,
9160104,2499,8,1198.413,6.675495009,,
9146900,3018,131,1182.485,110.7836463,,
9116357,3478,146,1204.497,121.2124231,,
9114367,3843,318,1184.543,268.4579623,,
9092962,3758,303,1489.473,203.4276553,,
9101668,3789,295,1903.818,154.9517864,,
9118349,12075,2028,1152.532,1759.604072,,
9124080,8557,1257,1157.93,1085.557849,,
9127519,14252,2456,1150.408,2134.89475,,
9062936,11879,1896,1163.35,1629.776078,,
9091653,2999,146,1161.071,125.7459707,,
9087879,2843,31,1169.765,26.50104936,,
9084634,2505,19,945.514,20.09489019,,
9064129,3676,255,1628.443,156.5912961,,
9067321,3080,140,1185.582,118.0854635,,
9035073,3764,268,1198.126,223.6826511,,
9052399,3424,201,1342.007,149.7756718,,
9086463,3545,233,1336.897,174.284182,,
9103753,3668,272,1335.371,203.6887127,,
9085533,2699,78,1318.226,59.17043056,,
9060842,10784,1784,1191.024,1497.87074,,
9139388,8554,1366,1179.676,1157.945063,,
9175565,2498,15,868.406,17.27302667,,
9088476,3947,285,2122.937,134.2479782,,
9109751,3101,129,1194.63,107.9832249,,
9158564,2440,3,1187.02,2.527337366,,
9169673,2455,15,1199.099,12.50939247,,
9188523,3119,143,1193.192,119.8465964,,
9197114,3228,183,1150.32,159.0861673,,
9250790,3726,267,1164.743,229.2351188,,
9254520,16559,2862,1492.614,1917.441482,,
9313751,18151,3324,1911.826,1738.651948,,
9313174,12346,2075,1163.438,1783.507157,,
9326225,15999,2833,1163.792,2434.28379,,
