A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9549841,3319,143,353.06,405.0303065,,
9405030,3196,129,376.198,342.9045343,,
9420750,3401,166,445.023,373.0144285,,
9468408,3134,120,373.217,321.5287621,,
9486430,3497,205,560.852,365.5153231,,
9383115,3595,194,591.718,327.8588787,,
9526580,3752,234,698.351,335.0750554,,
9481524,3498,181,578.884,312.6705869,,
9456401,3300,150,523.58,286.4891707,,
9468685,3484,186,548.811,338.9144897,,
9389292,3401,174,661.024,263.2279615,,
9426806,3486,161,540.249,298.0107321,,
9422511,3227,128,380.276,336.5976291,,
9403769,3556,153,407.938,375.056994,,
9327220,3137,140,491.508,284.8376832,,
9143568,3280,152,399.629,380.3527772,,
9056547,5224,479,710.967,673.7302857,,
9134756,3349,144,567.275,253.8451368,,
8933914,5986,626,927.125,675.2056087,,
8985185,3259,145,384.525,377.0886158,,
8958786,5637,489,722.219,677.0799439,,
8832510,3253,119,464.895,255.9717786,,
9135348,3280,132,173.996,758.6381296,,
9271328,3464,166,442.958,374.7533626,,
8855921,3924,287,861.571,333.1124191,,
9211807,2684,7,490.987,14.25699662,,
9121892,2511,5,469.05,10.65984437,,
9237174,3251,134,457.184,293.0986211,,
9138178,4268,321,832.356,385.652293,,
9268178,4440,353,539.03,654.8800623,,
9257435,3707,165,252.631,653.1264967,,
9407235,3646,189,438.505,431.0099087,,
9432303,2652,11,545.087,20.1802648,,
9442787,3541,206,516.26,399.0237477,,
9423356,5151,480,644.466,744.8026738,,
9508108,3523,196,460.961,425.1986611,,
9499683,2626,10,523.252,19.11125041,,
9526199,3304,145,503.188,288.1626748,,
9601466,3247,124,142.199,872.0173841,,
9645691,3350,164,332.929,492.5975208,,
9655940,3986,226,552.867,408.7782414,,
9633988,5348,507,663.309,764.349647,,
9664671,2618,9,591.171,15.22402148,,
9715244,3121,117,412.739,283.4721216,,
9682485,3614,216,560.892,385.100875,,
9676075,2516,5,370.742,13.48646768,,
9610261,5001,461,633.332,727.8962693,,
9688742,3762,266,528.325,503.4779728,,
9590829,5783,574,894.871,641.4332345,,
9574051,3234,132,419.43,314.7128245,,
9661388,4337,347,517.942,669.9591846,,
9568922,3524,189,442.39,427.2248469,,
9571896,3452,206,486.626,423.3230448,,
9566467,2432,1,457.337,2.18657139,,
9588749,2778,10,445.447,22.44935986,,
9587035,2966,87,469.234,185.4085595,,
9549285,3209,130,427.109,304.3719519,,
9595937,4566,358,532.966,671.7126421,,
9585739,3855,269,381.167,705.7274108,,
9541068,4046,234,518.341,451.4402681,,
9539705,2577,3,355.822,8.431181883,,
9515236,2918,124,437.317,283.5471752,,
9579645,3980,294,482.681,609.0979342,,
9532859,3671,206,487.681,422.4072703,,
9590263,2573,8,556.725,14.36975167,,
9577210,3505,109,427.189,255.1563828,,
9639400,4648,411,610.047,673.7185823,,
9553890,4092,300,585.296,512.5611656,,
9604757,3110,110,355.285,309.6105943,,
9651741,3199,142,146.43,969.7466366,,
9660841,2593,13,392.109,33.15404645,,
9627495,3564,130,557.412,233.2206698,,
9697602,3695,174,345.895,503.0428309,,
9580080,2692,9,520.48,17.29173071,,
9640586,5150,483,608.66,793.5464792,,
9634383,3412,154,523.547,294.1474213,,
9595524,4377,342,505.112,677.077559,,
9610335,3452,190,449.877,422.3376612,,
9577109,3500,160,423.778,377.5561733,,
9502494,2962,10,427.114,23.41295298,,
9426839,2459,5,428.951,11.65634303,,
9505533,3189,159,423.255,375.6600631,,
9546623,3338,166,412.703,402.2262983,,
9523338,4736,381,523.481,727.8201119,,
9489092,5120,530,710.964,745.4667184,,
9534003,3373,170,376.296,451.7720093,,
